24-06-2021,\Sukkur_,255.0,256.66,260.0
17-06-2021,\Sukkur_,255.0,255.0,255.0
10-06-2021,\Sukkur_,260.0,260.83,265.0
03-06-2021,\Sukkur_,260.0,260.83,265.0
27-05-2021,\Sukkur_,260.0,260.83,265.0
20-05-2021,\Sukkur_,260.0,261.66,265.0
06-05-2021,\Sukkur_,260.0,260.0,260.0
29-04-2021,\Sukkur_,250.0,250.0,250.0
22-04-2021,\Sukkur_,250.0,250.0,250.0
15-04-2021,\Sukkur_,250.0,250.0,250.0
08-04-2021,\Sukkur_,250.0,253.29,260.0
01-04-2021,\Sukkur_,260.0,260.0,260.0
25-03-2021,\Sukkur_,260.0,260.0,260.0
18-03-2021,\Sukkur_,250.0,251.66,255.0
11-03-2021,\Sukkur_,250.0,251.66,255.0
04-03-2021,\Sukkur_,240.0,246.62,250.0
25-02-2021,\Sukkur_,240.0,243.29,250.0
18-02-2021,\Sukkur_,240.0,243.29,250.0
11-02-2021,\Sukkur_,240.0,243.29,250.0
04-02-2021,\Sukkur_,240.0,243.29,250.0
28-01-2021,\Sukkur_,240.0,243.29,250.0
21-01-2021,\Sukkur_,250.0,253.29,260.0
14-01-2021,\Sukkur_,260.0,260.0,260.0
07-01-2021,\Sukkur_,260.0,260.0,260.0
31-12-2020,\Sukkur_,235.0,235.0,235.0
24-12-2020,\Sukkur_,220.0,220.0,220.0
17-12-2020,\Sukkur_,220.0,220.0,220.0
10-12-2020,\Sukkur_,220.0,220.0,220.0
03-12-2020,\Sukkur_,215.0,215.0,215.0
26-11-2020,\Sukkur_,210.0,210.0,210.0
19-11-2020,\Sukkur_,200.0,203.28,210.0
12-11-2020,\Sukkur_,200.0,200.0,200.0
05-11-2020,\Sukkur_,200.0,200.0,200.0
29-10-2020,\Sukkur_,200.0,200.0,200.0
22-10-2020,\Sukkur_,195.0,195.0,195.0
15-10-2020,\Sukkur_,195.0,195.0,195.0
08-10-2020,\Sukkur_,200.0,200.0,200.0
01-10-2020,\Sukkur_,200.0,200.0,200.0
24-09-2020,\Sukkur_,200.0,200.0,200.0
17-09-2020,\Sukkur_,190.0,190.0,190.0
10-09-2020,\Sukkur_,190.0,190.0,190.0
03-09-2020,\Sukkur_,180.0,180.0,180.0
27-08-2020,\Sukkur_,180.0,180.0,180.0
20-08-2020,\Sukkur_,180.0,180.0,180.0
13-08-2020,\Sukkur_,180.0,180.0,180.0
06-08-2020,\Sukkur_,180.0,180.0,180.0
29-07-2020,\Sukkur_,180.0,180.0,180.0
23-07-2020,\Sukkur_,180.0,180.0,180.0
16-07-2020,\Sukkur_,180.0,180.0,180.0
09-07-2020,\Sukkur_,180.0,180.0,180.0
02-07-2020,\Sukkur_,180.0,180.0,180.0
25-06-2020,\Sukkur_,180.0,180.0,180.0
18-06-2020,\Sukkur_,180.0,180.0,180.0
11-06-2020,\Sukkur_,180.0,180.0,180.0
04-06-2020,\Sukkur_,180.0,180.0,180.0
28-05-2020,\Sukkur_,175.0,175.0,175.0
21-05-2020,\Sukkur_,175.0,175.0,175.0
14-05-2020,\Sukkur_,175.0,175.0,175.0
07-05-2020,\Sukkur_,175.0,175.0,175.0
30-04-2020,\Sukkur_,175.0,176.65,180.0
23-04-2020,\Sukkur_,180.0,180.0,180.0
16-04-2020,\Sukkur_,170.0,171.65,175.0
09-04-2020,\Sukkur_,175.0,176.65,180.0
02-04-2020,\Sukkur_,170.0,170.0,170.0
26-03-2020,\Sukkur_,170.0,170.0,170.0
19-03-2020,\Sukkur_,170.0,170.0,170.0
12-03-2020,\Sukkur_,180.0,180.0,180.0
05-03-2020,\Sukkur_,190.0,190.0,190.0
27-02-2020,\Sukkur_,190.0,190.0,190.0
20-02-2020,\Sukkur_,190.0,190.0,190.0
13-02-2020,\Sukkur_,180.0,180.0,180.0
06-02-2020,\Sukkur_,180.0,181.65,185.0
30-01-2020,\Sukkur_,195.0,195.0,195.0
23-01-2020,\Sukkur_,195.0,195.0,195.0
16-01-2020,\Sukkur_,195.0,195.0,195.0
09-01-2020,\Sukkur_,195.0,195.0,195.0
02-01-2020,\Sukkur_,180.0,180.0,180.0
26-12-2019,\Sukkur_,170.0,170.0,170.0
19-12-2019,\Sukkur_,170.0,170.0,170.0
12-12-2019,\Sukkur_,170.0,170.0,170.0
05-12-2019,\Sukkur_,170.0,170.0,170.0
28-11-2019,\Sukkur_,165.0,165.0,165.0
21-11-2019,\Sukkur_,160.0,160.0,160.0
14-11-2019,\Sukkur_,160.0,160.0,160.0
07-11-2019,\Sukkur_,160.0,160.0,160.0
31-10-2019,\Sukkur_,160.0,160.0,160.0
24-10-2019,\Sukkur_,160.0,160.0,160.0
17-10-2019,\Sukkur_,160.0,160.0,160.0
10-10-2019,\Sukkur_,160.0,160.0,160.0
03-10-2019,\Sukkur_,160.0,160.0,160.0
26-09-2019,\Sukkur_,160.0,160.0,160.0
19-09-2019,\Sukkur_,160.0,160.0,160.0
12-09-2019,\Sukkur_,160.0,160.0,160.0
05-09-2019,\Sukkur_,160.0,160.0,160.0
