Date,Min,Avg,Max
2019-09-12,174,195.11,240
2019-09-19,190,213.05,250
2019-09-26,185,210.44,270
2019-10-03,168,190.43,250
2019-10-10,135,160.42,240
2019-10-17,150,168.39,240
2019-10-24,140,163.82,240
2019-10-31,150,170.05,220
2019-11-07,144,164.34,220
2019-11-14,138,159.94,220
2019-11-21,136,158.36,220
2019-11-28,130,148.43,220
2019-12-05,120,142.49,220
2019-12-12,125,142.16,200
2019-12-19,125,144.4,200
2019-12-19,125,144.4,200
2019-12-26,140,161.54,200
2019-12-26,140,161.54,200
2020-01-01,143,158.1,200
2020-01-09,145,160.56,210
2020-01-09,145,160.56,210
2020-01-16,150,174.91,220
2020-01-16,150,174.91,220
2020-01-23,160,178.75,210
2020-01-23,160,178.75,210
2020-01-30,170,183.46,210
2020-01-30,170,183.46,210
2020-02-06,167,180.08,210
2020-02-13,160,172.55,200
2020-02-20,149,163.03,200
2020-02-27,140,154.78,200
2020-03-05,120,153.46,210
2020-03-12,150,174.69,220
2020-03-19,136,160.81,230
2020-03-26,106,132.36,220
2020-03-26,106,132.36,220
2020-04-02,110,131.76,220
2020-04-09,100,132.31,200
2020-04-16,120,138.79,200
2020-04-23,120,145.29,200
2020-04-30,130,156.5,220
2020-05-07,165,193.56,240
2020-05-07,165,193.56,240
2020-05-14,170,195.43,250
2020-05-21,179,215.89,270
2020-05-28,179,221.18,300
2020-06-04,179,223.41,300
2020-06-11,155,197.19,240
2020-06-18,175,201.56,250
2020-06-25,175,192.2,240
2020-07-02,170,196.67,260
2020-07-09,182,200.04,250
2020-07-16,180,201.92,260
2020-07-23,163,181.19,230
2020-07-29,142,166.46,250
2020-08-06,120,150.36,230
2020-08-13,105,130.58,190
2020-08-20,110,136.09,200
2020-08-27,109,127.33,160
2020-09-03,114,132.6,180
2020-09-10,140,154.8,180
2020-09-17,145,162.45,186
2020-09-24,130.0,153.79,200.0
2020-10-01,142.0,163.54,200.0
2020-10-08,145.0,172.28,220.0
2020-10-16,174.0,198.72,260.0
2020-10-23,169.0,195.75,260.0
2020-10-29,169.0,195.75,260.0
2020-11-05,190.0,211.35,280.0
2020-11-12,210.0,233.82,280.0
2020-11-19,205.0,234.87,290.0
2020-11-26,195.0,215.43,280.0
2020-12-03,217.0,238.21,300.0
2020-12-10,210.0,239.24,320.0
2020-12-17,205.0,233.85,300.0
2020-12-24,196.0,218.17,270.0
2020-12-31,170.0,198.32,270.0
2021-01-07,152.0,177.02,240.0
2021-01-14,151,172.08,240
2021-01-21,160.0,180.52,240.0
2021-01-28,187.0,207.25,260.0
2021-02-04,194.0,213.55,280.0
2021-02-11,197.0,225.02,260.0
2021-02-19,214.0,245.03,280.0
2021-02-25,220.0,250.28,300.0
2021-03-04,225.0,263.58,300.0
2021-03-11,227.0,255.77,310.0
2021-03-18,206.0,238.82,290.0
2021-03-25,231.0,259.86,310.0
2021-04-01,207.0,237.94,270.0
2021-04-08,240.0,264.62,320.0
2021-04-15,242.0,265.82,320.0
2021-04-22,237.0,263.46,310.0
2021-04-29,234.0,261.61,330.0
2021-05-06,265.0,288.72,340.0
2021-05-20,290.0,325.5,400.0
2021-05-27,190.0,278.32,400.0
2021-06-03,200.0,231.69,320.0
2021-06-10,165.0,194.19,300.0
2021-06-17,184.0,206.38,260.0
2021-06-24,203.0,229.97,300.0
