Date,Min,Avg,Max
2019-09-05,430.0,430.0,430.0
2019-09-12,430.0,430.0,430.0
2019-09-19,430.0,430.0,430.0
2019-09-26,430.0,430.0,430.0
2019-10-03,430.0,430.0,430.0
2019-10-10,430.0,430.0,430.0
2019-10-17,430.0,430.0,430.0
2019-10-24,430.0,430.0,430.0
2019-10-31,430.0,430.0,430.0
2019-11-07,430.0,430.0,430.0
2019-11-14,430.0,433.31,440.0
2019-11-21,430.0,433.31,440.0
2019-11-28,430.0,433.31,440.0
2019-12-05,430.0,433.31,440.0
2019-12-12,430.0,433.31,440.0
2019-12-19,440.0,440.0,440.0
2019-12-26,440.0,440.0,440.0
2020-01-02,440.0,440.0,440.0
2020-01-09,440.0,440.0,440.0
2020-01-16,440.0,440.0,440.0
2020-01-23,460.0,460.0,460.0
2020-01-30,460.0,460.0,460.0
2020-02-06,460.0,460.0,460.0
2020-02-13,460.0,460.0,460.0
2020-02-20,460.0,460.0,460.0
2020-02-27,460.0,460.0,460.0
2020-03-05,460.0,460.0,460.0
2020-03-12,460.0,460.0,460.0
2020-03-19,460.0,460.0,460.0
2020-03-26,460.0,460.0,460.0
2020-04-02,460.0,460.0,460.0
2020-04-09,460.0,460.0,460.0
2020-04-16,460.0,460.0,460.0
2020-04-23,460.0,460.0,460.0
2020-04-30,460.0,460.0,460.0
2020-05-07,460.0,460.0,460.0
2020-05-14,460.0,460.0,460.0
2020-05-21,460.0,460.0,460.0
2020-05-28,460.0,460.0,460.0
2020-06-04,460.0,460.0,460.0
2020-06-11,460.0,460.0,460.0
2020-06-18,460.0,460.0,460.0
2020-06-25,460.0,460.0,460.0
2020-07-02,460.0,460.0,460.0
2020-07-09,460.0,460.0,460.0
2020-07-16,460.0,466.64,470.0
2020-07-23,460.0,466.64,470.0
2020-07-29,460.0,466.64,470.0
2020-08-06,460.0,466.64,470.0
2020-08-13,460.0,466.64,470.0
2020-08-20,460.0,466.64,470.0
2020-08-27,470.0,470.0,470.0
2020-09-03,470.0,470.0,470.0
2020-09-10,470.0,470.0,470.0
2020-09-17,470.0,470.0,470.0
2020-09-24,470.0,470.0,470.0
2020-10-01,470.0,470.0,470.0
2020-10-08,470.0,470.0,470.0
2020-10-15,470.0,470.0,470.0
2020-10-22,470.0,470.0,470.0
2020-10-29,470.0,470.0,470.0
2020-11-05,470.0,470.0,470.0
2020-11-12,470.0,473.31,480.0
2020-11-19,480.0,480.0,480.0
2020-11-26,480.0,480.0,480.0
2020-12-03,480.0,480.0,480.0
2020-12-10,480.0,480.0,480.0
2020-12-17,480.0,480.0,480.0
2020-12-24,480.0,480.0,480.0
2020-12-31,480.0,480.0,480.0
2021-01-07,480.0,480.0,480.0
2021-01-14,480.0,480.0,480.0
2021-01-21,480.0,480.0,480.0
2021-01-28,480.0,480.0,480.0
2021-02-04,480.0,480.0,480.0
2021-02-11,480.0,480.0,480.0
2021-02-18,480.0,480.0,480.0
2021-02-25,480.0,480.0,480.0
2021-03-04,480.0,480.0,480.0
2021-03-11,480.0,480.0,480.0
2021-03-18,480.0,480.0,480.0
2021-03-25,480.0,480.0,480.0
2021-04-01,480.0,480.0,480.0
2021-04-08,480.0,480.0,480.0
2021-04-15,480.0,480.0,480.0
2021-04-22,480.0,480.0,480.0
2021-04-29,480.0,480.0,480.0
2021-05-06,480.0,480.0,480.0
2021-05-20,480.0,480.0,480.0
2021-05-27,480.0,480.0,480.0
2021-06-03,480.0,480.0,480.0
2021-06-10,480.0,480.0,480.0
2021-06-17,480.0,480.0,480.0
2021-06-24,480.0,480.0,480.0
2021-07-01,480.0,480.0,480.0
2021-07-08,480.0,480.0,480.0
2021-07-15,480.0,480.0,480.0
2021-07-29,480.0,480.0,480.0
2021-08-05,480.0,480.0,480.0
2021-08-12,480.0,480.0,480.0
2021-08-26,480.0,480.0,480.0
2021-09-02,480.0,480.0,480.0
2021-09-09,480.0,480.0,480.0
