Date,Min,Avg,Max
2019-09-05,43.0,43.0,43.0
2019-09-12,43.0,43.0,43.0
2019-09-19,45.0,45.0,45.0
2019-09-26,45.0,45.0,45.0
2019-10-03,45.0,45.0,45.0
2019-10-10,45.0,45.0,45.0
2019-10-17,45.0,45.0,45.0
2019-10-24,45.0,45.0,45.0
2019-10-31,45.0,45.0,45.0
2019-11-07,45.0,45.0,45.0
2019-11-14,45.0,45.0,45.0
2019-11-21,45.0,45.0,45.0
2019-11-28,45.0,45.0,45.0
2019-12-05,45.0,45.0,45.0
2019-12-12,46.2,46.2,46.2
2019-12-19,46.2,46.2,46.2
2019-12-26,46.2,46.2,46.2
2020-01-02,46.2,46.2,46.2
2020-01-09,46.2,46.2,46.2
2020-01-16,46.2,46.2,46.2
2020-01-23,46.2,46.2,46.2
2020-01-30,46.2,46.2,46.2
2020-02-06,46.2,46.2,46.2
2020-02-13,46.2,46.2,46.2
2020-02-20,46.2,46.2,46.2
2020-02-27,46.2,46.2,46.2
2020-03-05,46.2,46.2,46.2
2020-03-12,46.2,46.2,46.2
2020-03-19,46.2,46.2,46.2
2020-03-26,46.2,46.2,46.2
2020-04-02,46.2,46.2,46.2
2020-04-09,46.2,46.2,46.2
2020-04-16,46.2,46.2,46.2
2020-04-23,46.2,46.2,46.2
2020-04-30,46.2,46.2,46.2
2020-05-07,46.2,46.2,46.2
2020-05-14,46.2,46.2,46.2
2020-05-21,46.2,46.2,46.2
2020-05-28,46.2,46.2,46.2
2020-06-04,46.2,46.2,46.2
2020-06-11,46.2,46.2,46.2
2020-06-18,46.2,46.2,46.2
2020-06-25,46.2,46.2,46.2
2020-07-02,46.2,46.2,46.2
2020-07-09,46.2,46.2,46.2
2020-07-16,46.2,46.2,46.2
2020-07-23,46.2,46.2,46.2
2020-07-29,46.2,46.2,46.2
2020-08-06,46.2,46.2,46.2
2020-08-13,46.2,46.2,46.2
2020-08-20,46.2,46.2,46.2
2020-08-27,46.2,46.2,46.2
2020-09-03,46.2,46.2,46.2
2020-09-10,46.2,46.2,46.2
2020-09-17,46.2,46.2,46.2
2020-09-24,46.2,46.2,46.2
2020-10-01,46.2,46.2,46.2
2020-10-08,46.2,46.2,46.2
2020-10-15,46.2,46.2,46.2
2020-10-22,46.2,46.2,46.2
2020-10-29,46.2,46.2,46.2
2020-11-05,46.2,46.2,46.2
2020-11-12,46.2,46.2,46.2
2020-11-19,46.2,46.2,46.2
2020-11-26,46.2,46.2,46.2
2020-12-03,46.2,46.2,46.2
2020-12-10,46.2,46.2,46.2
2020-12-17,46.2,46.2,46.2
2020-12-24,46.2,46.2,46.2
2020-12-31,46.2,46.2,46.2
2021-01-07,46.2,46.2,46.2
2021-01-14,46.2,46.2,46.2
2021-01-21,46.2,46.2,46.2
2021-01-28,46.2,46.2,46.2
2021-02-04,46.2,46.2,46.2
2021-02-11,46.2,46.2,46.2
2021-02-18,46.2,46.2,46.2
2021-02-25,46.2,46.2,46.2
2021-03-04,46.2,46.2,46.2
2021-03-11,46.2,46.2,46.2
2021-03-18,46.2,46.2,46.2
2021-03-25,46.2,46.2,46.2
2021-04-01,46.2,46.2,46.2
2021-04-08,46.2,46.2,46.2
2021-04-15,46.2,46.2,46.2
2021-04-22,46.2,46.2,46.2
2021-04-29,46.2,46.2,46.2
2021-05-06,46.2,46.2,46.2
2021-05-20,46.2,46.2,46.2
2021-05-27,46.2,46.2,46.2
2021-06-03,46.2,46.2,46.2
2021-06-10,46.2,46.2,46.2
2021-06-17,46.2,46.2,46.2
2021-06-24,46.2,46.2,46.2
2021-07-01,46.2,46.2,46.2
2021-07-08,46.2,46.2,46.2
2021-07-15,46.2,46.2,46.2
2021-07-29,46.2,46.2,46.2
2021-08-05,46.2,46.2,46.2
2021-08-12,46.2,46.2,46.2
2021-08-26,46.2,50.06,54.24
2021-09-02,46.2,50.06,54.24
2021-09-09,46.2,50.06,54.24
2021-09-16,54.24,54.24,54.24
2021-09-23,54.24,54.24,54.24
