Date,Min,Avg,Max
9/5/2019,20,29.64,30
9/12/2019,20,29.64,30
9/19/2019,20,29.64,30
9/26/2019,20,29.64,30
10/3/2019,20,29.64,30
10/10/2019,20,29.64,30
10/17/2019,20,29.64,30
10/24/2019,20,29.64,30
10/31/2019,30,30,30
11/7/2019,30,30,30
11/14/2019,30,30,30
11/21/2019,30,30,30
11/28/2019,30,30,30
12/5/2019,30,30,30
12/12/2019,30,30,30
12/19/2019,30,30,30
12/26/2019,30,30,30
1/2/2020,30,30,30
1/9/2020,30,30,30
1/16/2020,30,30,30
1/23/2020,30,30,30
1/30/2020,30,30,30
2/6/2020,30,30,30
2/13/2020,30,30,30
2/20/2020,30,30,30
2/27/2020,30,30,30
3/5/2020,30,30,30
3/12/2020,30,30,30
3/19/2020,30,30,30
3/26/2020,30,30,30
4/2/2020,30,30,30
4/9/2020,30,30,30
4/16/2020,30,30,30
4/23/2020,30,30,30
4/30/2020,30,30,30
5/7/2020,30,30,30
5/14/2020,30,30,30
5/21/2020,30,30,30
5/28/2020,30,30,30
6/4/2020,30,30,30
6/11/2020,30,30.27,35
6/18/2020,30,30.27,35
6/25/2020,30,30.27,35
7/2/2020,30,30.27,35
7/9/2020,30,30.27,35
7/16/2020,30,30,30
7/23/2020,30,30,30
7/29/2020,30,30,30
8/6/2020,30,30,30
8/13/2020,30,30,30
8/20/2020,30,30,30
8/27/2020,30,30,30
9/3/2020,30,30,30
9/10/2020,30,30,30
9/17/2020,30,30,30
9/24/2020,30,30,30
10/1/2020,30,30,30
10/8/2020,30,30,30
10/15/2020,30,30,30
10/22/2020,30,30,30
10/29/2020,30,30,30
11/5/2020,30,30,30
11/12/2020,30,30,30
11/19/2020,30,30,30
11/26/2020,30,30,30
12/3/2020,30,30,30
12/10/2020,30,30,30
12/17/2020,30,30,30
12/24/2020,30,30,30
12/31/2020,30,30,30
1/7/2021,30,30,30
1/14/2021,30,30,30
1/21/2021,30,30,30
1/28/2021,30,30,30
2/4/2021,30,30,30
2/11/2021,30,30,30
2/18/2021,30,30,30
2/25/2021,30,30,30
3/4/2021,30,30,30
3/11/2021,30,30,30
3/18/2021,30,30,30
3/25/2021,30,30,30
4/1/2021,30,30,30
4/8/2021,30,30,30
4/15/2021,30,30,30
4/22/2021,30,30,30
4/29/2021,30,30,30
5/6/2021,30,30,30
5/20/2021,30,30,30
5/27/2021,30,30,30
6/3/2021,30,30,30
6/10/2021,30,30,30
6/17/2021,30,30,30
6/24/2021,30,30,30
7/1/2021,30,30,30
7/8/2021,30,30,30
7/15/2021,30,30,30
7/29/2021,30,30,30
8/5/2021,30,30,30
8/12/2021,30,30,30
8/26/2021,30,30,30
9/2/2021,30,30,30
9/9/2021,30,30,30
2021-09-16,30.0,30.0,30.0
2021-09-23,30.0,30.0,30.0
