Date,Min,Avg,Max
2019-09-05,70.0,70.0,70.0
2019-09-12,70.0,70.0,70.0
2019-09-19,70.0,70.0,70.0
2019-09-26,70.0,70.0,70.0
2019-10-03,70.0,70.0,70.0
2019-10-10,70.0,70.0,70.0
2019-10-17,70.0,70.0,70.0
2019-10-24,70.0,70.0,70.0
2019-10-31,70.0,70.0,70.0
2019-11-07,70.0,70.0,70.0
2019-11-14,70.0,70.0,70.0
2019-11-21,70.0,70.0,70.0
2019-11-28,70.0,73.19,80.0
2019-12-05,70.0,73.19,80.0
2019-12-12,70.0,73.19,80.0
2019-12-19,70.0,73.19,80.0
2019-12-26,70.0,73.19,80.0
2020-01-02,70.0,73.19,80.0
2020-01-09,70.0,73.19,80.0
2020-01-16,70.0,73.19,80.0
2020-01-23,70.0,73.19,80.0
2020-01-30,70.0,73.19,80.0
2020-02-06,70.0,73.19,80.0
2020-02-13,70.0,73.19,80.0
2020-02-20,70.0,73.19,80.0
2020-02-27,70.0,73.19,80.0
2020-03-05,70.0,73.19,80.0
2020-03-12,70.0,73.19,80.0
2020-03-19,80.0,80.0,80.0
2020-03-26,80.0,80.0,80.0
2020-04-02,85.0,85.0,85.0
2020-04-09,85.0,85.0,85.0
2020-04-16,90.0,90.0,90.0
2020-04-23,90.0,90.0,90.0
2020-04-30,90.0,90.0,90.0
2020-05-07,90.0,90.0,90.0
2020-05-14,90.0,90.0,90.0
2020-05-21,90.0,90.0,90.0
2020-05-28,90.0,90.0,90.0
2020-06-04,90.0,90.0,90.0
2020-06-11,90.0,90.0,90.0
2020-06-18,90.0,93.22,100.0
2020-06-25,100.0,100.0,100.0
2020-07-02,100.0,100.0,100.0
2020-07-09,100.0,100.0,100.0
2020-07-16,100.0,100.0,100.0
2020-07-23,100.0,100.0,100.0
2020-07-29,100.0,103.23,110.0
2020-08-06,100.0,100.0,100.0
2020-08-13,100.0,100.0,100.0
2020-08-20,100.0,100.0,100.0
2020-08-27,100.0,106.56,110.0
2020-09-03,100.0,106.56,110.0
2020-09-10,100.0,106.56,110.0
2020-09-17,100.0,106.56,110.0
2020-09-24,100.0,103.23,110.0
2020-10-01,100.0,103.23,110.0
2020-10-08,100.0,103.23,110.0
2020-10-15,100.0,103.23,110.0
2020-10-22,100.0,103.23,110.0
2020-10-29,100.0,103.23,110.0
2020-11-05,100.0,103.23,110.0
2020-11-12,100.0,103.23,110.0
2020-11-19,100.0,100.0,100.0
2020-11-26,100.0,100.0,100.0
2020-12-03,90.0,90.0,90.0
2020-12-10,90.0,90.0,90.0
2020-12-17,90.0,90.0,90.0
2020-12-24,90.0,90.0,90.0
2020-12-31,90.0,90.0,90.0
2021-01-07,90.0,90.0,90.0
2021-01-14,90.0,90.0,90.0
2021-01-21,90.0,90.0,90.0
2021-01-28,90.0,90.0,90.0
2021-02-04,90.0,90.0,90.0
2021-02-11,90.0,90.0,90.0
2021-02-18,90.0,90.0,90.0
2021-02-25,90.0,90.0,90.0
2021-03-04,90.0,90.0,90.0
2021-03-11,90.0,90.0,90.0
2021-03-18,90.0,90.0,90.0
2021-03-25,90.0,90.0,90.0
2021-04-01,90.0,90.0,90.0
2021-04-08,90.0,90.0,90.0
2021-04-15,90.0,90.0,90.0
2021-04-22,90.0,90.0,90.0
2021-04-29,90.0,90.0,90.0
2021-05-06,90.0,90.0,90.0
2021-05-20,90.0,90.0,90.0
2021-05-27,90.0,90.0,90.0
2021-06-03,90.0,90.0,90.0
2021-06-10,90.0,90.0,90.0
2021-06-17,90.0,90.0,90.0
2021-06-24,90.0,90.0,90.0
2021-07-01,90.0,90.0,90.0
2021-07-08,90.0,90.0,90.0
2021-07-15,90.0,90.0,90.0
2021-07-29,90.0,90.0,90.0
2021-08-05,90.0,90.0,90.0
2021-08-12,90.0,90.0,90.0
2021-08-26,90.0,90.0,90.0
2021-09-02,90.0,90.0,90.0
2021-09-09,90.0,90.0,90.0
2021-09-16,90.0,90.0,90.0
2021-09-23,90.0,90.0,90.0
2021-09-30,90.0,90.0,90.0
2021-10-07,90.0,90.0,90.0
2021-10-14,90.0,90.0,90.0
2021-10-21,90.0,90.0,90.0
2021-10-28,90.0,90.0,90.0
2021-12-02,90.0,90.0,90.0
2021-11-04,90.0,90.0,90.0
2021-11-11,90.0,90.0,90.0
2021-11-18,90.0,90.0,90.0
