Date,Min,Avg,Max
2019-09-05,75.0,76.63,80.0
2019-09-12,75.0,76.63,80.0
2019-09-19,75.0,76.63,80.0
2019-09-26,75.0,76.63,80.0
2019-10-03,75.0,76.63,80.0
2019-10-10,75.0,76.63,80.0
2019-10-17,75.0,76.63,80.0
2019-10-24,75.0,76.63,80.0
2019-10-31,75.0,76.63,80.0
2019-11-07,75.0,76.63,80.0
2019-11-14,75.0,76.63,80.0
2019-11-21,75.0,76.63,80.0
2019-11-28,75.0,76.63,80.0
2019-12-05,75.0,76.63,80.0
2019-12-12,75.0,76.63,80.0
2019-12-19,75.0,76.63,80.0
2019-12-26,75.0,76.63,80.0
2020-01-02,75.0,76.63,80.0
2020-01-09,75.0,76.63,80.0
2020-01-16,75.0,76.63,80.0
2020-01-23,75.0,76.63,80.0
2020-01-30,75.0,76.63,80.0
2020-02-06,75.0,76.63,80.0
2020-02-13,75.0,76.63,80.0
2020-02-20,75.0,76.63,80.0
2020-02-27,75.0,76.63,80.0
2020-03-05,75.0,76.63,80.0
2020-03-12,75.0,76.63,80.0
2020-03-19,75.0,76.63,80.0
2020-03-26,75.0,76.63,80.0
2020-04-02,75.0,76.63,80.0
2020-04-09,75.0,76.63,80.0
2020-04-16,75.0,76.63,80.0
2020-04-23,75.0,76.63,80.0
2020-04-30,75.0,76.63,80.0
2020-05-07,75.0,76.63,80.0
2020-05-14,75.0,76.63,80.0
2020-05-21,75.0,76.63,80.0
2020-05-28,75.0,76.63,80.0
2020-06-04,75.0,76.63,80.0
2020-06-11,75.0,76.63,80.0
2020-06-18,75.0,76.63,80.0
2020-06-25,75.0,76.63,80.0
2020-07-02,75.0,78.3,80.0
2020-07-09,75.0,78.3,80.0
2020-07-16,75.0,78.3,80.0
2020-07-23,75.0,78.3,80.0
2020-07-29,75.0,78.3,80.0
2020-08-06,75.0,78.3,80.0
2020-08-13,80.0,80.0,80.0
2020-08-20,80.0,80.0,80.0
2020-08-27,80.0,80.0,80.0
2020-09-03,80.0,80.0,80.0
2020-09-10,80.0,80.0,80.0
2020-09-17,80.0,80.0,80.0
2020-09-24,80.0,80.0,80.0
2020-10-01,80.0,80.0,80.0
2020-10-08,80.0,83.2,90.0
2020-10-15,80.0,83.2,90.0
2020-10-22,80.0,83.2,90.0
2020-10-29,80.0,83.2,90.0
2020-11-05,80.0,83.2,90.0
2020-11-12,80.0,83.2,90.0
2020-11-19,80.0,80.0,80.0
2020-11-26,80.0,80.0,80.0
2020-12-03,80.0,80.0,80.0
2020-12-10,80.0,80.0,80.0
2020-12-17,80.0,80.0,80.0
2020-12-24,80.0,80.0,80.0
2020-12-31,80.0,80.0,80.0
2021-01-07,80.0,80.0,80.0
2021-01-14,80.0,80.0,80.0
2021-01-21,80.0,80.0,80.0
2021-01-28,80.0,83.2,90.0
2021-02-04,80.0,83.2,90.0
2021-02-11,80.0,83.2,90.0
2021-02-18,80.0,86.53,90.0
2021-02-25,80.0,86.53,90.0
2021-03-04,80.0,86.53,90.0
2021-03-11,90.0,91.64,95.0
2021-03-18,90.0,91.64,95.0
2021-03-25,90.0,91.64,95.0
2021-04-01,90.0,91.64,95.0
2021-04-08,90.0,90.0,90.0
2021-04-15,90.0,90.0,90.0
2021-04-22,90.0,90.0,90.0
2021-04-29,90.0,90.0,90.0
2021-05-06,90.0,90.0,90.0
2021-05-20,90.0,91.64,95.0
2021-05-27,90.0,91.64,95.0
2021-06-03,90.0,91.64,95.0
2021-06-10,90.0,91.64,95.0
2021-06-17,90.0,91.64,95.0
2021-06-24,90.0,91.64,95.0
2021-07-01,90.0,91.64,95.0
2021-07-08,90.0,94.91,100.0
2021-07-15,95.0,98.3,100.0
2021-07-29,95.0,98.3,100.0
2021-08-05,95.0,98.3,100.0
2021-08-12,95.0,98.3,100.0
2021-08-26,95.0,98.3,100.0
2021-09-02,95.0,98.3,100.0
2021-09-09,95.0,98.3,100.0
2021-09-16,95.0,98.3,100.0
2021-09-23,95.0,98.3,100.0
2021-09-30,95.0,98.3,100.0
2021-10-07,95.0,98.3,100.0
2021-10-14,95.0,98.3,100.0
2021-10-21,95.0,98.3,100.0
2021-10-28,95.0,98.3,100.0
2021-12-02,95.0,98.3,100.0
2021-11-04,95.0,98.3,100.0
