Date,Min,Avg,Max
2021-07-29,150.0,162.57,170.0
2021-07-15,150.0,162.57,170.0
2021-07-08,150.0,162.57,170.0
2021-07-01,150.0,162.57,170.0
2021-06-24,150.0,162.57,170.0
2021-06-17,150.0,162.57,170.0
2021-06-10,150.0,162.57,170.0
2021-06-03,150.0,159.87,170.0
2021-05-27,150.0,159.87,170.0
2021-05-20,150.0,159.87,170.0
2021-05-06,150.0,159.87,170.0
2021-04-29,150.0,159.87,170.0
2021-04-22,150.0,159.87,170.0
2021-04-15,150.0,159.87,170.0
2021-04-08,150.0,162.57,170.0
2021-04-01,150.0,162.57,170.0
2021-03-25,150.0,162.57,170.0
2021-03-18,150.0,162.57,170.0
2021-03-11,150.0,161.57,170.0
2021-03-04,150.0,161.57,170.0
2021-02-25,150.0,161.57,170.0
2021-02-18,150.0,161.57,170.0
2021-02-11,150.0,161.57,170.0
2021-02-04,150.0,161.57,170.0
2021-01-28,150.0,161.57,170.0
2021-01-21,150.0,161.57,170.0
2021-01-14,150.0,161.57,170.0
2021-01-07,150.0,161.57,170.0
2020-12-31,150.0,161.57,170.0
2020-12-24,150.0,161.57,170.0
2020-12-17,150.0,161.57,170.0
2020-12-10,150.0,161.57,170.0
2020-12-03,150.0,161.57,170.0
2020-11-26,150.0,155.6,160.0
2020-11-19,150.0,155.6,160.0
2020-11-12,150.0,155.6,160.0
2020-11-05,150.0,155.6,160.0
2020-10-29,150.0,155.6,160.0
2020-10-22,150.0,155.6,160.0
2020-10-15,150.0,155.56,170.0
2020-10-08,150.0,155.56,170.0
2020-10-01,150.0,155.56,170.0
2020-09-24,150.0,155.56,170.0
2020-09-17,150.0,155.56,170.0
2020-09-10,150.0,155.56,170.0
2020-09-03,150.0,155.56,170.0
2020-08-27,150.0,155.56,170.0
2020-08-20,150.0,155.56,170.0
2020-08-13,150.0,156.23,170.0
2020-08-06,150.0,156.23,170.0
2020-07-29,150.0,156.23,170.0
2020-07-23,150.0,156.23,170.0
2020-07-16,150.0,156.23,170.0
2020-07-09,150.0,156.23,170.0
2020-07-02,155.0,164.91,170.0
2020-06-25,160.0,171.18,180.0
2020-06-18,160.0,171.18,180.0
2020-06-11,160.0,171.18,180.0
2020-06-04,160.0,171.18,180.0
2020-05-28,160.0,171.18,180.0
2020-05-21,160.0,171.88,180.0
2020-05-14,160.0,171.88,180.0
2020-05-07,160.0,171.88,180.0
2020-04-30,160.0,171.88,180.0
2020-04-23,160.0,168.51,180.0
2020-04-16,160.0,167.83,180.0
2020-04-09,160.0,167.83,180.0
2020-04-02,140.0,152.47,160.0
2020-03-26,130.0,141.85,150.0
2020-03-19,130.0,141.85,150.0
2020-03-12,130.0,143.12,160.0
2020-03-05,130.0,143.12,160.0
2020-02-27,130.0,143.12,160.0
2020-02-20,130.0,143.12,160.0
2020-02-13,130.0,143.12,160.0
2020-02-06,130.0,143.12,160.0
2020-01-30,130.0,143.12,160.0
2020-01-23,130.0,141.85,150.0
2020-01-16,130.0,141.85,150.0
2020-01-09,120.0,136.48,150.0
2020-01-02,120.0,132.49,140.0
2019-12-26,120.0,132.49,140.0
2019-12-19,110.0,128.41,140.0
2019-12-12,110.0,123.02,140.0
2019-12-05,110.0,123.02,140.0
2019-11-28,110.0,123.02,140.0
2019-11-21,110.0,123.02,140.0
2019-11-14,110.0,123.02,140.0
2019-11-07,110.0,123.02,140.0
2019-10-31,110.0,123.02,140.0
2019-10-24,110.0,123.02,140.0
2019-10-17,110.0,123.02,140.0
2019-10-10,110.0,123.02,140.0
2019-10-03,110.0,123.02,140.0
2019-09-26,110.0,123.02,140.0
2019-09-19,110.0,123.02,140.0
2019-09-12,110.0,123.02,140.0
2019-09-05,110.0,123.02,140.0
2021-08-06,150.0,162.57,170.0
2021-08-12,150.0,162.57,170.0
2021-08-26,150.0,165.14,180.0
