Date,Min,Avg,Max
2019-09-05,420.0,420.0,420.0
2019-09-12,420.0,420.0,420.0
2019-09-19,420.0,420.0,420.0
2019-09-26,420.0,420.0,420.0
2019-10-03,440.0,440.0,440.0
2019-10-10,440.0,440.0,440.0
2019-10-17,440.0,440.0,440.0
2019-10-24,440.0,440.0,440.0
2019-10-31,440.0,440.0,440.0
2019-11-07,440.0,440.0,440.0
2019-11-14,440.0,440.0,440.0
2019-11-21,440.0,440.0,440.0
2019-11-28,440.0,440.0,440.0
2019-12-05,440.0,440.0,440.0
2019-12-12,440.0,440.0,440.0
2019-12-19,440.0,440.0,440.0
2019-12-26,440.0,440.0,440.0
2020-01-02,440.0,440.0,440.0
2020-01-09,440.0,440.0,440.0
2020-01-16,440.0,440.0,440.0
2020-01-23,440.0,440.0,440.0
2020-01-30,440.0,440.0,440.0
2020-02-06,440.0,440.0,440.0
2020-02-13,440.0,440.0,440.0
2020-02-20,440.0,440.0,440.0
2020-02-27,440.0,440.0,440.0
2020-03-05,440.0,440.0,440.0
2020-03-12,440.0,440.0,440.0
2020-03-19,440.0,440.0,440.0
2020-03-26,440.0,440.0,440.0
2020-04-02,440.0,440.0,440.0
2020-04-09,440.0,440.0,440.0
2020-04-16,440.0,440.0,440.0
2020-04-23,440.0,440.0,440.0
2020-04-30,440.0,440.0,440.0
2020-05-07,440.0,440.0,440.0
2020-05-14,440.0,440.0,440.0
2020-05-21,440.0,440.0,440.0
2020-05-28,440.0,440.0,440.0
2020-06-04,440.0,440.0,440.0
2020-06-11,440.0,440.0,440.0
2020-06-18,440.0,443.31,450.0
2020-06-25,450.0,450.0,450.0
2020-07-02,450.0,450.0,450.0
2020-07-09,450.0,450.0,450.0
2020-07-16,450.0,450.0,450.0
2020-07-23,450.0,450.0,450.0
2020-07-29,450.0,450.0,450.0
2020-08-06,450.0,450.0,450.0
2020-08-13,450.0,450.0,450.0
2020-08-20,450.0,450.0,450.0
2020-08-27,450.0,450.0,450.0
2020-09-03,450.0,450.0,450.0
2020-09-10,450.0,450.0,450.0
2020-09-17,450.0,450.0,450.0
2020-09-24,450.0,450.0,450.0
2020-10-01,450.0,450.0,450.0
2020-10-08,450.0,450.0,450.0
2020-10-15,450.0,450.0,450.0
2020-10-22,450.0,450.0,450.0
2020-10-29,450.0,450.0,450.0
2020-11-05,450.0,450.0,450.0
2020-11-12,450.0,450.0,450.0
2020-11-19,450.0,450.0,450.0
2020-11-26,450.0,450.0,450.0
2020-12-03,450.0,450.0,450.0
2020-12-10,450.0,450.0,450.0
2020-12-17,450.0,450.0,450.0
2020-12-24,450.0,450.0,450.0
2020-12-31,450.0,450.0,450.0
2021-01-07,450.0,450.0,450.0
2021-01-14,450.0,450.0,450.0
2021-01-21,450.0,450.0,450.0
2021-01-28,450.0,450.0,450.0
2021-02-04,450.0,450.0,450.0
2021-02-11,450.0,450.0,450.0
2021-02-18,450.0,450.0,450.0
2021-02-25,450.0,450.0,450.0
2021-03-04,450.0,450.0,450.0
2021-03-11,450.0,450.0,450.0
2021-03-18,450.0,450.0,450.0
2021-03-25,450.0,450.0,450.0
2021-04-01,450.0,450.0,450.0
2021-04-08,480.0,480.0,480.0
2021-04-15,480.0,480.0,480.0
2021-04-22,480.0,480.0,480.0
2021-04-29,480.0,480.0,480.0
2021-05-06,480.0,480.0,480.0
2021-05-20,480.0,486.58,500.0
2021-05-27,480.0,486.58,500.0
2021-06-03,500.0,513.25,520.0
2021-06-10,500.0,513.25,520.0
2021-06-17,500.0,513.25,520.0
2021-06-24,500.0,513.25,520.0
2021-07-01,500.0,513.25,520.0
2021-07-08,500.0,513.25,520.0
2021-07-15,500.0,513.25,520.0
2021-07-29,500.0,513.25,520.0
2021-08-05,500.0,513.25,520.0
2021-08-12,500.0,513.25,520.0
2021-08-26,500.0,513.25,520.0
2021-09-02,500.0,513.25,520.0
2021-09-09,500.0,513.25,520.0
2021-09-16,500.0,513.25,520.0
2021-09-23,500.0,513.25,520.0
2021-09-30,500.0,513.25,520.0
2021-10-07,500.0,513.25,520.0
2021-10-14,500.0,513.25,520.0
