Date,Min,Avg,Max
2019-09-05,120.0,120.0,120.0
2019-09-12,120.0,120.0,120.0
2019-09-19,120.0,120.0,120.0
2019-09-26,120.0,120.0,120.0
2019-10-03,120.0,120.0,120.0
2019-10-10,120.0,120.0,120.0
2019-10-17,120.0,120.0,120.0
2019-10-24,120.0,120.0,120.0
2019-10-31,120.0,120.0,120.0
2019-11-07,120.0,120.0,120.0
2019-11-14,120.0,120.0,120.0
2019-11-21,120.0,120.0,120.0
2019-11-28,120.0,120.0,120.0
2019-12-05,120.0,120.0,120.0
2019-12-12,120.0,120.0,120.0
2019-12-19,120.0,120.0,120.0
2019-12-26,120.0,120.0,120.0
2020-01-02,120.0,126.58,130.0
2020-01-09,120.0,126.58,130.0
2020-01-16,120.0,126.58,130.0
2020-01-23,120.0,126.58,130.0
2020-01-30,120.0,126.58,130.0
2020-02-06,120.0,120.0,120.0
2020-02-13,120.0,120.0,120.0
2020-02-20,100.0,106.56,110.0
2020-02-27,100.0,106.56,110.0
2020-03-05,100.0,106.56,110.0
2020-03-12,100.0,106.56,110.0
2020-03-19,100.0,106.56,110.0
2020-03-26,100.0,106.56,110.0
2020-04-02,100.0,106.56,110.0
2020-04-09,100.0,106.56,110.0
2020-04-16,100.0,106.56,110.0
2020-04-23,100.0,106.56,110.0
2020-04-30,110.0,113.24,120.0
2020-05-07,120.0,120.0,120.0
2020-05-14,120.0,120.0,120.0
2020-05-21,120.0,120.0,120.0
2020-05-28,120.0,120.0,120.0
2020-06-04,120.0,120.0,120.0
2020-06-11,120.0,120.0,120.0
2020-06-18,120.0,120.0,120.0
2020-06-25,120.0,120.0,120.0
2020-07-02,120.0,120.0,120.0
2020-07-09,120.0,120.0,120.0
2020-07-16,120.0,120.0,120.0
2020-07-23,120.0,120.0,120.0
2020-07-29,120.0,120.0,120.0
2020-08-06,120.0,120.0,120.0
2020-08-13,120.0,120.0,120.0
2020-08-20,120.0,123.24,130.0
2020-08-27,120.0,123.24,130.0
2020-09-03,120.0,123.24,130.0
2020-09-10,140.0,140.0,140.0
2020-09-17,140.0,140.0,140.0
2020-09-24,140.0,140.0,140.0
2020-10-01,140.0,140.0,140.0
2020-10-08,120.0,126.33,140.0
2020-10-15,120.0,126.33,140.0
2020-10-22,120.0,126.33,140.0
2020-10-29,120.0,126.33,140.0
2020-11-05,120.0,126.33,140.0
2020-11-12,120.0,126.33,140.0
2020-11-19,120.0,126.33,140.0
2020-11-26,120.0,126.33,140.0
2020-12-03,120.0,120.0,120.0
2020-12-10,120.0,120.0,120.0
2020-12-17,120.0,120.0,120.0
2020-12-24,120.0,120.0,120.0
2020-12-31,120.0,120.0,120.0
2021-01-07,120.0,120.0,120.0
2021-01-14,120.0,120.0,120.0
2021-01-21,120.0,120.0,120.0
2021-01-28,120.0,120.0,120.0
2021-02-04,120.0,120.0,120.0
2021-02-11,120.0,120.0,120.0
2021-02-18,120.0,120.0,120.0
2021-02-25,120.0,120.0,120.0
2021-03-04,120.0,120.0,120.0
2021-03-11,120.0,120.0,120.0
2021-03-18,120.0,120.0,120.0
2021-03-25,120.0,120.0,120.0
2021-04-01,120.0,120.0,120.0
2021-04-08,120.0,120.0,120.0
2021-04-15,120.0,120.0,120.0
2021-04-22,120.0,120.0,120.0
2021-04-29,120.0,120.0,120.0
2021-05-06,120.0,120.0,120.0
2021-05-20,120.0,120.0,120.0
2021-05-27,120.0,120.0,120.0
2021-06-03,120.0,123.24,130.0
2021-06-10,130.0,130.0,130.0
2021-06-17,130.0,133.25,140.0
2021-06-24,130.0,133.25,140.0
2021-07-01,130.0,133.25,140.0
2021-07-08,130.0,133.25,140.0
2021-07-15,130.0,133.25,140.0
2021-07-29,130.0,133.25,140.0
2021-08-05,130.0,133.25,140.0
2021-08-12,130.0,133.25,140.0
2021-08-26,130.0,133.25,140.0
2021-09-02,130.0,133.25,140.0
2021-09-09,130.0,133.25,140.0
2021-09-16,130.0,133.25,140.0
2021-09-23,140.0,140.0,140.0
2021-09-30,140.0,140.0,140.0
2021-10-07,140.0,140.0,140.0
2021-10-14,140.0,140.0,140.0
2021-10-21,140.0,140.0,140.0
2021-10-28,140.0,140.0,140.0
2021-12-02,140.0,140.0,140.0
2021-11-04,140.0,140.0,140.0
2021-11-11,140.0,140.0,140.0
2021-11-18,140.0,140.0,140.0
2021-11-25,140.0,140.0,140.0
2021-12-08,140.0,140.0,140.0
2021-12-15,140.0,140.0,140.0
