Date,Min,Avg,Max
2019-09-05,160.0,160.0,160.0
2019-09-12,160.0,160.0,160.0
2019-09-19,160.0,160.0,160.0
2019-09-26,160.0,160.0,160.0
2019-10-03,160.0,160.0,160.0
2019-10-10,160.0,160.0,160.0
2019-10-17,160.0,160.0,160.0
2019-10-24,160.0,160.0,160.0
2019-10-31,160.0,160.0,160.0
2019-11-07,160.0,160.0,160.0
2019-11-14,160.0,160.0,160.0
2019-11-21,160.0,160.0,160.0
2019-11-28,160.0,160.0,160.0
2019-12-05,160.0,160.0,160.0
2019-12-12,160.0,160.0,160.0
2019-12-19,160.0,169.8,180.0
2019-12-26,160.0,169.8,180.0
2020-01-02,160.0,169.8,180.0
2020-01-09,160.0,169.8,180.0
2020-01-16,160.0,169.8,180.0
2020-01-23,160.0,169.8,180.0
2020-01-30,160.0,169.8,180.0
2020-02-06,160.0,169.8,180.0
2020-02-13,160.0,169.8,180.0
2020-02-20,160.0,169.8,180.0
2020-02-27,160.0,169.8,180.0
2020-03-05,160.0,169.8,180.0
2020-03-12,160.0,169.8,180.0
2020-03-19,160.0,169.8,180.0
2020-03-26,160.0,169.8,180.0
2020-04-02,160.0,169.8,180.0
2020-04-09,160.0,169.8,180.0
2020-04-16,160.0,169.8,180.0
2020-04-23,160.0,169.8,180.0
2020-04-30,160.0,169.8,180.0
2020-05-07,160.0,169.8,180.0
2020-05-14,160.0,169.8,180.0
2020-05-21,160.0,169.8,180.0
2020-05-28,160.0,169.8,180.0
2020-06-04,160.0,169.8,180.0
2020-06-11,160.0,169.8,180.0
2020-06-18,160.0,169.8,180.0
2020-06-25,160.0,169.8,180.0
2020-07-02,160.0,169.8,180.0
2020-07-09,180.0,180.0,180.0
2020-07-16,180.0,180.0,180.0
2020-07-23,180.0,180.0,180.0
2020-07-29,180.0,180.0,180.0
2020-08-06,180.0,180.0,180.0
2020-08-13,180.0,180.0,180.0
2020-08-20,200.0,200.0,200.0
2020-08-27,200.0,200.0,200.0
2020-09-03,200.0,200.0,200.0
2020-09-10,200.0,200.0,200.0
2020-09-17,200.0,200.0,200.0
2020-09-24,200.0,200.0,200.0
2020-10-01,200.0,200.0,200.0
2020-10-08,200.0,200.0,200.0
2020-10-15,200.0,200.0,200.0
2020-10-22,200.0,200.0,200.0
2020-10-29,200.0,200.0,200.0
2020-11-05,200.0,200.0,200.0
2020-11-12,200.0,200.0,200.0
2020-11-19,200.0,200.0,200.0
2020-11-26,200.0,200.0,200.0
2020-12-03,200.0,200.0,200.0
2020-12-10,200.0,200.0,200.0
2020-12-17,200.0,200.0,200.0
2020-12-24,200.0,200.0,200.0
2020-12-31,200.0,200.0,200.0
2021-01-07,200.0,200.0,200.0
2021-01-14,200.0,200.0,200.0
2021-01-21,200.0,200.0,200.0
2021-01-28,200.0,200.0,200.0
2021-02-04,200.0,200.0,200.0
2021-02-11,200.0,200.0,200.0
2021-02-18,200.0,200.0,200.0
2021-02-25,200.0,200.0,200.0
2021-03-04,200.0,200.0,200.0
2021-03-11,200.0,200.0,200.0
2021-03-18,200.0,200.0,200.0
2021-03-25,200.0,200.0,200.0
2021-04-01,200.0,200.0,200.0
2021-04-08,200.0,200.0,200.0
2021-04-15,200.0,200.0,200.0
2021-04-22,200.0,200.0,200.0
2021-04-29,200.0,200.0,200.0
2021-05-06,200.0,200.0,200.0
2021-05-20,200.0,200.0,200.0
2021-05-27,200.0,200.0,200.0
2021-06-03,200.0,200.0,200.0
2021-06-10,200.0,200.0,200.0
2021-06-17,200.0,200.0,200.0
2021-06-24,200.0,200.0,200.0
2021-07-01,200.0,200.0,200.0
2021-07-08,200.0,200.0,200.0
2021-07-15,200.0,200.0,200.0
2021-07-29,200.0,200.0,200.0
2021-08-05,200.0,200.0,200.0
2021-08-12,200.0,200.0,200.0
2021-08-26,200.0,200.0,200.0
2021-09-02,200.0,200.0,200.0
2021-09-09,200.0,200.0,200.0
2021-09-16,200.0,200.0,200.0
2021-09-23,200.0,200.0,200.0
2021-09-30,200.0,200.0,200.0
2021-10-07,200.0,200.0,200.0
2021-10-14,200.0,200.0,200.0
2021-10-21,200.0,200.0,200.0
2021-10-28,200.0,200.0,200.0
