Date,Min,Avg,Max
2019-09-05,70.0,70.0,70.0
2019-09-12,70.0,70.0,70.0
2019-09-19,70.0,70.0,70.0
2019-09-26,70.0,70.0,70.0
2019-10-03,70.0,70.0,70.0
2019-10-10,80.0,80.0,80.0
2019-10-17,80.0,80.0,80.0
2019-10-24,80.0,80.0,80.0
2019-10-31,80.0,80.0,80.0
2019-11-07,80.0,86.53,90.0
2019-11-14,80.0,86.53,90.0
2019-11-21,80.0,86.53,90.0
2019-11-28,80.0,80.0,80.0
2019-12-05,70.0,73.19,80.0
2019-12-12,70.0,70.0,70.0
2019-12-19,60.0,66.49,70.0
2019-12-26,60.0,66.49,70.0
2020-01-02,60.0,66.49,70.0
2020-01-09,60.0,60.0,60.0
2020-01-16,60.0,60.0,60.0
2020-01-23,60.0,60.0,60.0
2020-01-30,50.0,50.0,50.0
2020-02-06,50.0,50.0,50.0
2020-02-13,50.0,50.0,50.0
2020-02-20,60.0,60.0,60.0
2020-02-27,60.0,66.49,70.0
2020-03-05,60.0,66.49,70.0
2020-03-12,60.0,66.49,70.0
2020-03-19,60.0,60.0,60.0
2020-03-26,60.0,63.16,70.0
2020-04-02,60.0,63.16,70.0
2020-04-09,50.0,56.46,60.0
2020-04-16,50.0,50.0,50.0
2020-04-23,50.0,53.13,60.0
2020-04-30,40.0,46.42,50.0
2020-05-07,40.0,46.42,50.0
2020-05-14,30.0,36.34,40.0
2020-05-21,30.0,30.0,30.0
2020-05-28,30.0,30.0,30.0
2020-06-04,30.0,30.0,30.0
2020-06-11,25.0,28.23,30.0
2020-06-18,25.0,28.23,30.0
2020-06-25,30.0,30.0,30.0
2020-07-02,30.0,33.02,40.0
2020-07-09,40.0,40.0,40.0
2020-07-16,40.0,40.0,40.0
2020-07-23,40.0,40.0,40.0
2020-07-29,40.0,40.0,40.0
2020-08-06,30.0,36.34,40.0
2020-08-13,30.0,36.34,40.0
2020-08-20,30.0,36.34,40.0
2020-08-27,40.0,40.0,40.0
2020-09-03,50.0,53.13,60.0
2020-09-10,50.0,53.13,60.0
2020-09-17,50.0,53.13,60.0
2020-09-24,50.0,53.13,60.0
2020-10-01,60.0,60.0,60.0
2020-10-08,70.0,73.19,80.0
2020-10-15,80.0,80.0,80.0
2020-10-22,70.0,73.19,80.0
2020-10-29,70.0,76.52,80.0
2020-11-05,80.0,80.0,80.0
2020-11-12,80.0,80.0,80.0
2020-11-19,70.0,70.0,70.0
2020-11-26,50.0,56.46,60.0
2020-12-03,50.0,56.46,60.0
2020-12-10,50.0,56.46,60.0
2020-12-17,50.0,56.46,60.0
2020-12-24,50.0,50.0,50.0
2020-12-31,40.0,40.0,40.0
2021-01-07,40.0,40.0,40.0
2021-01-14,40.0,40.0,40.0
2021-01-21,40.0,40.0,40.0
2021-01-28,40.0,40.0,40.0
2021-02-04,40.0,40.0,40.0
2021-02-11,30.0,36.34,40.0
2021-02-18,30.0,36.34,40.0
2021-02-25,30.0,36.34,40.0
2021-03-04,30.0,30.0,30.0
2021-03-11,30.0,33.02,40.0
2021-03-18,30.0,33.02,40.0
2021-03-25,30.0,33.02,40.0
2021-04-01,30.0,30.0,30.0
2021-04-08,30.0,30.0,30.0
2021-04-15,30.0,30.0,30.0
2021-04-22,30.0,30.0,30.0
2021-04-29,20.0,26.21,30.0
2021-05-06,20.0,26.21,30.0
2021-05-20,20.0,26.21,30.0
2021-05-27,20.0,22.89,30.0
2021-06-03,20.0,22.89,30.0
2021-06-10,30.0,30.0,30.0
2021-06-17,30.0,30.0,30.0
2021-06-24,30.0,36.34,40.0
2021-07-01,40.0,40.0,40.0
2021-07-08,40.0,40.0,40.0
2021-07-15,40.0,40.0,40.0
2021-07-29,40.0,40.0,40.0
2021-08-05,50.0,50.0,50.0
2021-08-12,40.0,40.0,40.0
2021-08-26,50.0,50.0,50.0
2021-09-02,60.0,60.0,60.0
2021-09-09,60.0,60.0,60.0
2021-09-16,60.0,60.0,60.0
2021-09-23,60.0,60.0,60.0
2021-09-30,60.0,60.0,60.0
