Date,Min,Avg,Max
2019-09-05,808.0,808.67,810.0
2019-09-12,808.0,808.67,810.0
2019-09-19,808.0,808.67,810.0
2019-09-26,808.0,808.67,810.0
2019-10-03,808.0,808.67,810.0
2019-10-10,808.0,808.67,810.0
2019-10-17,808.0,808.67,810.0
2019-10-24,808.0,808.67,810.0
2019-10-31,808.0,808.67,810.0
2019-11-07,808.0,808.67,810.0
2019-11-14,808.0,808.67,810.0
2019-11-21,808.0,808.67,810.0
2019-11-28,808.0,808.67,810.0
2019-12-05,808.0,808.67,810.0
2019-12-12,808.0,808.67,810.0
2019-12-19,808.0,808.67,810.0
2019-12-26,808.0,808.67,810.0
2020-01-02,808.0,808.67,810.0
2020-01-09,808.0,868.46,1000.0
2020-01-16,805.0,865.36,1000.0
2020-01-23,805.0,865.36,1000.0
2020-01-30,805.0,805.0,805.0
2020-02-06,805.0,805.0,805.0
2020-02-13,805.0,805.0,805.0
2020-02-20,805.0,805.0,805.0
2020-02-27,805.0,805.0,805.0
2020-03-05,805.0,805.0,805.0
2020-03-12,805.0,805.0,805.0
2020-03-19,805.0,805.0,805.0
2020-03-26,805.0,805.0,805.0
2020-04-02,805.0,805.0,805.0
2020-04-09,805.0,805.0,805.0
2020-04-16,805.0,805.0,805.0
2020-04-23,805.0,805.0,805.0
2020-04-30,805.0,805.0,805.0
2020-05-07,805.0,805.0,805.0
2020-05-14,805.0,805.0,805.0
2020-05-21,805.0,805.0,805.0
2020-05-28,805.0,805.0,805.0
2020-06-04,940.0,940.0,940.0
2020-06-11,940.0,940.0,940.0
2020-06-18,1040.0,1040.0,1040.0
2020-06-25,1040.0,1040.0,1040.0
2020-07-02,1020.0,1026.62,1040.0
2020-07-09,860.0,916.24,1040.0
2020-07-16,860.0,860.0,860.0
2020-07-23,860.0,860.0,860.0
2020-07-29,860.0,860.0,860.0
2020-08-06,860.0,860.0,860.0
2020-08-13,860.0,860.0,860.0
2020-08-20,860.0,860.0,860.0
2020-08-27,860.0,860.0,860.0
2020-09-03,860.0,860.0,860.0
2020-09-10,860.0,860.0,860.0
2020-09-17,860.0,860.0,860.0
2020-09-24,860.0,860.0,860.0
2020-10-01,860.0,860.0,860.0
2020-10-08,860.0,860.0,860.0
2020-10-15,860.0,860.0,860.0
2020-10-22,860.0,860.0,860.0
2020-10-29,860.0,860.0,860.0
2020-11-05,860.0,860.0,860.0
2020-11-12,860.0,860.0,860.0
2020-11-19,860.0,860.0,860.0
2020-11-26,860.0,860.0,860.0
2020-12-03,860.0,956.52,1200.0
2020-12-10,860.0,954.24,1200.0
2020-12-17,860.0,951.96,1200.0
2020-12-24,860.0,951.96,1200.0
2020-12-31,860.0,962.59,1250.0
2021-01-07,860.0,860.0,860.0
2021-01-14,860.0,860.0,860.0
2021-01-21,860.0,860.0,860.0
2021-01-28,860.0,860.0,860.0
2021-02-04,860.0,860.0,860.0
2021-02-11,860.0,860.0,860.0
2021-02-18,860.0,860.0,860.0
2021-02-25,860.0,968.94,1240.0
2021-03-04,860.0,860.0,860.0
2021-03-11,860.0,860.0,860.0
2021-03-18,860.0,860.0,860.0
2021-03-25,860.0,860.0,860.0
2021-04-01,860.0,860.0,860.0
2021-04-08,860.0,860.0,860.0
2021-04-15,1093.0,1097.65,1107.0
2021-04-22,1066.67,1069.62,1080.0
2021-04-29,1040.0,1060.63,1080.0
2021-05-06,1040.0,1060.63,1080.0
2021-05-20,1040.0,1066.5,1080.0
2021-05-27,1040.0,1066.5,1080.0
2021-06-03,1040.0,1066.5,1080.0
2021-06-10,1040.0,1066.5,1080.0
2021-06-17,1040.0,1066.5,1080.0
2021-06-24,1050.0,1069.91,1080.0
2021-07-01,1050.0,1069.91,1080.0
2021-07-08,1050.0,1069.91,1080.0
2021-07-15,1060.0,1073.29,1080.0
2021-07-29,1060.0,1082.08,1100.0
2021-08-05,1060.0,1068.84,1080.0
2021-08-12,1060.0,1068.84,1080.0
2021-08-26,1070.0,1076.63,1100.0
2021-09-02,1120.0,1142.11,1160.0
2021-09-09,1145.0,1182.98,1220.0
2021-09-16,1200.0,1211.07,1220.0
2021-09-23,1100.0,1100.0,1100.0
2021-09-30,1100.0,1100,1100
2021-10-07,1100.0,1100,1100
2021-10-14,1100.0,1100,1100
2021-10-21,1100.0,1100,1100
2021-10-28,1100.0,1100,1100
2021-12-02,1100.0,1100,1100
2021-11-04,1100.0,1100,1100
2021-11-11,1100.0,1100,1100
2021-11-18,1100.0,1100,1100
2021-11-25,1100.0,1100,1100
2021-12-08,1100.0,1100,1100
2021-12-15,1100.0,1100,1100
