Date,Min,Avg,Max
2021-07-29,130.0,134.94,140.0
2021-07-15,130.0,134.94,140.0
2021-07-08,130.0,134.94,140.0
2021-07-01,130.0,134.94,140.0
2021-06-24,130.0,134.94,140.0
2021-06-17,130.0,134.94,140.0
2021-06-10,130.0,134.94,140.0
2021-06-03,130.0,134.94,140.0
2021-05-27,130.0,134.94,140.0
2021-05-20,130.0,134.94,140.0
2021-05-06,130.0,134.94,140.0
2021-04-29,130.0,134.94,140.0
2021-04-22,130.0,134.94,140.0
2021-04-15,130.0,134.94,140.0
2021-04-08,130.0,134.94,140.0
2021-04-01,130.0,134.94,140.0
2021-03-25,130.0,134.94,140.0
2021-03-18,130.0,134.94,140.0
2021-03-11,130.0,134.94,140.0
2021-03-04,130.0,134.94,140.0
2021-02-25,130.0,134.94,140.0
2021-02-18,130.0,134.94,140.0
2021-02-11,130.0,134.94,140.0
2021-02-04,130.0,134.94,140.0
2021-01-28,130.0,134.94,140.0
2021-01-21,130.0,134.94,140.0
2021-01-14,130.0,134.94,140.0
2021-01-07,130.0,134.94,140.0
2020-12-31,130.0,134.94,140.0
2020-12-24,130.0,134.94,140.0
2020-12-17,130.0,134.94,140.0
2020-12-10,130.0,134.94,140.0
2020-12-03,130.0,134.94,140.0
2020-11-26,130.0,134.94,140.0
2020-11-19,130.0,134.94,140.0
2020-11-12,130.0,134.94,140.0
2020-11-05,130.0,134.94,140.0
2020-10-29,130.0,134.94,140.0
2020-10-22,130.0,134.94,140.0
2020-10-15,130.0,134.94,140.0
2020-10-08,130.0,134.94,140.0
2020-10-01,120.0,124.93,130.0
2020-09-24,120.0,124.93,130.0
2020-09-17,120.0,124.93,130.0
2020-09-10,120.0,124.93,130.0
2020-09-03,120.0,124.93,130.0
2020-08-27,120.0,124.93,130.0
2020-08-20,130.0,130.0,130.0
2020-08-13,130.0,130.0,130.0
2020-08-06,120.0,120.0,120.0
2020-07-29,120.0,120.0,120.0
2020-07-23,120.0,120.0,120.0
2020-07-16,120.0,120.0,120.0
2020-07-09,120.0,120.0,120.0
2020-07-02,120.0,120.0,120.0
2020-06-25,120.0,120.0,120.0
2020-06-18,120.0,120.0,120.0
2020-06-11,120.0,120.0,120.0
2020-06-04,120.0,120.0,120.0
2020-05-28,110.0,110.0,110.0
2020-05-21,110.0,110.0,110.0
2020-05-14,90.0,94.91,100.0
2020-05-07,110.0,110.0,110.0
2020-04-30,110.0,110.0,110.0
2020-04-23,110.0,110.0,110.0
2020-04-16,110.0,110.0,110.0
2020-04-09,110.0,110.0,110.0
2020-04-02,110.0,110.0,110.0
2020-03-26,120.0,120.0,120.0
2020-03-19,120.0,120.0,120.0
2020-03-12,120.0,120.0,120.0
2020-03-05,120.0,120.0,120.0
2020-02-27,120.0,120.0,120.0
2020-02-20,120.0,120.0,120.0
2020-02-13,120.0,120.0,120.0
2020-02-06,120.0,120.0,120.0
2020-01-30,120.0,120.0,120.0
2020-01-23,120.0,120.0,120.0
2020-01-16,120.0,120.0,120.0
2020-01-09,120.0,120.0,120.0
2020-01-02,120.0,120.0,120.0
2019-12-26,120.0,120.0,120.0
2019-12-19,120.0,120.0,120.0
2019-12-12,120.0,120.0,120.0
2019-12-05,120.0,120.0,120.0
2019-11-28,120.0,120.0,120.0
2019-11-21,120.0,120.0,120.0
2019-11-14,120.0,120.0,120.0
2019-11-07,120.0,120.0,120.0
2019-10-31,120.0,120.0,120.0
2019-10-24,120.0,120.0,120.0
2019-10-17,120.0,120.0,120.0
2019-10-10,120.0,120.0,120.0
2019-10-03,120.0,120.0,120.0
2019-09-26,120.0,120.0,120.0
2019-09-19,120.0,120.0,120.0
2019-09-12,120.0,120.0,120.0
2019-09-05,120.0,120.0,120.0
2021-08-06,130.0,134.94,140.0
2021-08-12,130.0,134.94,140.0
