Date,Min,Avg,Max
2019-09-05,85.0,85.0,85.0
2019-09-12,85.0,85.0,85.0
2019-09-19,85.0,85.0,85.0
2019-09-26,85.0,85.0,85.0
2019-10-03,85.0,85.0,85.0
2019-10-10,85.0,85.0,85.0
2019-10-17,85.0,85.0,85.0
2019-10-24,85.0,85.0,85.0
2019-10-31,85.0,85.0,85.0
2019-11-07,85.0,85.0,85.0
2019-11-14,85.0,85.0,85.0
2019-11-21,85.0,85.0,85.0
2019-11-28,85.0,85.0,85.0
2019-12-05,85.0,85.0,85.0
2019-12-12,85.0,85.0,85.0
2019-12-19,85.0,85.0,85.0
2019-12-26,85.0,85.0,85.0
2020-01-02,85.0,85.0,85.0
2020-01-09,85.0,85.0,85.0
2020-01-16,85.0,85.0,85.0
2020-01-23,85.0,85.0,85.0
2020-01-30,85.0,85.0,85.0
2020-02-06,85.0,85.0,85.0
2020-02-13,85.0,85.0,85.0
2020-02-20,85.0,85.0,85.0
2020-02-27,85.0,85.0,85.0
2020-03-05,85.0,85.0,85.0
2020-03-12,85.0,85.0,85.0
2020-03-19,85.0,85.0,85.0
2020-03-26,85.0,85.0,85.0
2020-04-02,85.0,85.0,85.0
2020-04-09,85.0,85.0,85.0
2020-04-16,85.0,85.0,85.0
2020-04-23,85.0,85.0,85.0
2020-04-30,85.0,85.0,85.0
2020-05-07,85.0,85.0,85.0
2020-05-14,85.0,85.0,85.0
2020-05-21,85.0,85.0,85.0
2020-05-28,85.0,85.0,85.0
2020-06-04,85.0,85.0,85.0
2020-06-11,85.0,85.0,85.0
2020-06-18,85.0,85.0,85.0
2020-06-25,90.0,90.0,90.0
2020-07-02,90.0,90.0,90.0
2020-07-09,90.0,90.0,90.0
2020-07-16,90.0,90.0,90.0
2020-07-23,90.0,90.0,90.0
2020-07-29,90.0,90.0,90.0
2020-08-06,90.0,90.0,90.0
2020-08-13,90.0,90.0,90.0
2020-08-20,90.0,90.0,90.0
2020-08-27,90.0,90.0,90.0
2020-09-03,90.0,90.0,90.0
2020-09-10,90.0,90.0,90.0
2020-09-17,90.0,90.0,90.0
2020-09-24,90.0,90.0,90.0
2020-10-01,90.0,90.0,90.0
2020-10-08,90.0,90.0,90.0
2020-10-15,90.0,90.0,90.0
2020-10-22,90.0,90.0,90.0
2020-10-29,90.0,90.0,90.0
2020-11-05,90.0,90.0,90.0
2020-11-12,90.0,90.0,90.0
2020-11-19,90.0,90.0,90.0
2020-11-26,90.0,90.0,90.0
2020-12-03,90.0,90.0,90.0
2020-12-10,90.0,90.0,90.0
2020-12-17,90.0,90.0,90.0
2020-12-24,90.0,90.0,90.0
2020-12-31,90.0,90.0,90.0
2021-01-07,90.0,90.0,90.0
2021-01-14,90.0,90.0,90.0
2021-01-21,90.0,90.0,90.0
2021-01-28,90.0,90.0,90.0
2021-02-04,90.0,90.0,90.0
2021-02-11,90.0,90.0,90.0
2021-02-18,90.0,90.0,90.0
2021-02-25,90.0,90.0,90.0
2021-03-04,90.0,90.0,90.0
2021-03-11,90.0,90.0,90.0
2021-03-18,90.0,90.0,90.0
2021-03-25,90.0,90.0,90.0
2021-04-01,90.0,90.0,90.0
2021-04-08,90.0,90.0,90.0
2021-04-15,90.0,90.0,90.0
2021-04-22,90.0,90.0,90.0
2021-04-29,90.0,90.0,90.0
2021-05-06,90.0,90.0,90.0
2021-05-20,90.0,90.0,90.0
2021-05-27,90.0,90.0,90.0
2021-06-03,90.0,90.0,90.0
2021-06-10,90.0,90.0,90.0
2021-06-17,90.0,90.0,90.0
2021-06-24,90.0,90.0,90.0
2021-07-01,90.0,90.0,90.0
2021-07-08,90.0,90.0,90.0
2021-07-15,90.0,90.0,90.0
2021-07-29,90.0,90.0,90.0
2021-08-05,90.0,90.0,90.0
2021-08-12,90.0,90.0,90.0
2021-08-26,90.0,90.0,90.0
2021-09-02,90.0,90.0,90.0
2021-09-09,90.0,90.0,90.0
2021-09-16,90.0,90.0,90.0
2021-09-23,90.0,90.0,90.0
2021-09-30,90.0,90.0,90.0
2021-10-07,90.0,90.0,90.0
2021-10-14,90.0,90.0,90.0
2021-10-21,90.0,90.0,90.0
2021-10-28,90.0,90.0,90.0
2021-12-02,90.0,90.0,90.0
2021-11-04,90.0,90.0,90.0
2021-11-11,90.0,90.0,90.0
