Date,Min,Avg,Max
2019-09-05,113.7,113.7,113.7
2019-09-12,113.7,113.7,113.7
2019-09-19,113.7,113.7,113.7
2019-09-26,113.7,113.7,113.7
2019-10-03,113.7,113.7,113.7
2019-10-10,113.7,113.7,113.7
2019-10-17,113.7,113.7,113.7
2019-10-24,113.7,113.7,113.7
2019-10-31,113.7,113.7,113.7
2019-11-07,114.7,114.7,114.7
2019-11-14,114.7,114.7,114.7
2019-11-21,114.7,114.7,114.7
2019-11-28,114.7,114.7,114.7
2019-12-05,114.48,114.48,114.48
2019-12-12,114.48,114.48,114.48
2019-12-19,114.48,114.48,114.48
2019-12-26,114.48,114.48,114.48
2020-01-02,117.09,117.09,117.09
2020-01-09,117.09,117.09,117.09
2020-01-16,117.09,117.09,117.09
2020-01-23,117.09,117.09,117.09
2020-01-30,117.09,117.09,117.09
2020-02-06,117.09,117.09,117.09
2020-02-13,117.09,117.09,117.09
2020-02-20,117.09,117.09,117.09
2020-02-27,117.09,117.09,117.09
2020-03-05,112.1,112.1,112.1
2020-03-12,112.1,112.1,112.1
2020-03-19,112.1,112.1,112.1
2020-03-26,97.07,97.07,97.07
2020-04-02,97.07,97.07,97.07
2020-04-09,97.07,97.07,97.07
2020-04-16,97.07,97.07,97.07
2020-04-23,97.07,97.07,97.07
2020-04-30,97.07,97.07,97.07
2020-05-07,82.04,82.04,82.04
2020-05-14,82.04,82.04,82.04
2020-05-21,82.04,82.04,82.04
2020-05-28,82.04,82.04,82.04
2020-06-04,74.94,74.94,74.94
2020-06-11,74.94,74.94,74.94
2020-06-18,74.94,74.94,74.94
2020-06-25,74.94,74.94,74.94
2020-07-02,100.53,100.53,100.53
2020-07-09,100.53,100.53,100.53
2020-07-16,100.53,100.53,100.53
2020-07-23,100.53,100.53,100.53
2020-07-29,100.53,100.53,100.53
2020-08-06,104.47,104.47,104.47
2020-08-13,104.47,104.47,104.47
2020-08-20,104.47,104.47,104.47
2020-08-27,104.47,104.47,104.47
2020-09-03,104.47,104.47,104.47
2020-09-10,104.47,104.47,104.47
2020-09-17,104.47,104.47,104.47
2020-09-24,104.47,104.47,104.47
2020-10-01,104.47,104.47,104.47
2020-10-08,104.47,104.47,104.47
2020-10-15,104.47,104.47,104.47
2020-10-22,104.47,104.47,104.47
2020-10-29,104.47,104.47,104.47
2020-11-05,102.9,102.9,102.9
2020-11-12,102.9,102.9,102.9
2020-11-19,101.19,101.19,101.19
2020-11-26,101.19,101.19,101.19
2020-12-03,101.19,101.19,101.19
2020-12-10,101.19,101.19,101.19
2020-12-17,104.19,104.19,104.19
2020-12-24,104.19,104.19,104.19
2020-12-31,104.19,104.19,104.19
2021-01-07,106.5,106.51,106.51
2021-01-14,106.5,106.51,106.51
2021-01-21,109.71,109.71,109.71
2021-01-28,109.71,109.71,109.71
2021-02-04,112.4,112.41,112.42
2021-02-11,112.4,112.41,112.42
2021-02-18,112.4,112.41,112.42
2021-02-25,112.4,112.41,112.42
2021-03-04,112.4,112.41,112.42
2021-03-11,112.4,112.41,112.42
2021-03-18,112.4,112.41,112.42
2021-03-25,112.4,112.41,112.42
2021-04-01,110.87,110.87,110.87
2021-04-08,110.87,110.87,110.87
2021-04-15,110.87,110.87,110.87
2021-04-22,109.08,109.08,109.08
2021-04-29,109.08,109.08,109.08
2021-05-06,109.08,109.08,109.08
2021-05-20,109.08,109.08,109.08
2021-05-27,109.08,109.08,109.08
2021-06-03,109.08,109.08,109.08
2021-06-10,109.08,109.08,109.08
2021-06-17,111.2,111.2,111.2
2021-06-24,111.2,111.2,111.2
2021-07-01,113.2,113.2,113.2
2021-07-08,113.2,113.2,113.2
2021-07-15,113.2,113.2,113.2
2021-07-29,118.6,118.6,118.6
2021-08-05,120.29,120.29,120.29
2021-08-12,120.29,120.29,120.29
2021-08-26,120.29,120.29,120.29
2021-09-02,118.79,118.79,118.79
2021-09-09,118.79,118.79,118.79
2021-09-16,123.79,123.79,123.79
2021-09-23,123.79,123.79,123.79
2021-09-30,123.79,123.79,123.79
2021-10-07,123.79,123.79,123.79
2021-10-14,123.79,123.79,123.79
2021-10-21,123.79,123.79,123.79
2021-10-28,123.79,123.79,123.79
2021-12-02,123.79,123.79,123.79
2021-11-04,123.79,123.79,123.79
2021-11-11,123.79,123.79,123.79
