Date,Min,Avg,Max
2019-09-05,210.0,210.0,210.0
2019-09-12,210.0,210.0,210.0
2019-09-19,210.0,210.0,210.0
2019-09-26,210.0,210.0,210.0
2019-10-03,210.0,210.0,210.0
2019-10-10,220.0,220.0,220.0
2019-10-17,220.0,220.0,220.0
2019-10-24,220.0,220.0,220.0
2019-10-31,220.0,220.0,220.0
2019-11-07,220.0,220.0,220.0
2019-11-14,220.0,220.0,220.0
2019-11-21,220.0,220.0,220.0
2019-11-28,220.0,220.0,220.0
2019-12-05,220.0,220.0,220.0
2019-12-12,223.0,223.0,223.0
2019-12-19,223.0,223.0,223.0
2019-12-26,223.0,223.0,223.0
2020-01-02,229.0,229.0,229.0
2020-01-09,229.0,229.0,229.0
2020-01-16,229.0,229.0,229.0
2020-01-23,229.0,229.0,229.0
2020-01-30,229.0,229.0,229.0
2020-02-06,253.0,253.0,253.0
2020-02-13,253.0,253.0,253.0
2020-02-20,253.0,253.0,253.0
2020-02-27,253.0,253.0,253.0
2020-03-05,253.0,253.0,253.0
2020-03-12,253.0,253.0,253.0
2020-03-19,253.0,253.0,253.0
2020-03-26,253.0,253.0,253.0
2020-04-02,253.0,253.0,253.0
2020-04-09,253.0,253.0,253.0
2020-04-16,253.0,253.0,253.0
2020-04-23,253.0,253.0,253.0
2020-04-30,253.0,253.0,253.0
2020-05-07,253.0,253.0,253.0
2020-05-14,253.0,253.0,253.0
2020-05-21,253.0,253.0,253.0
2020-05-28,253.0,253.0,253.0
2020-06-04,253.0,253.0,253.0
2020-06-11,253.0,253.0,253.0
2020-06-18,253.0,253.0,253.0
2020-06-25,253.0,253.0,253.0
2020-07-02,253.0,253.0,253.0
2020-07-09,253.0,253.0,253.0
2020-07-16,253.0,253.0,253.0
2020-07-23,253.0,253.0,253.0
2020-07-29,253.0,253.0,253.0
2020-08-06,253.0,253.0,253.0
2020-08-13,253.0,253.0,253.0
2020-08-20,253.0,253.0,253.0
2020-08-27,253.0,253.0,253.0
2020-09-03,253.0,253.0,253.0
2020-09-10,253.0,253.0,253.0
2020-09-17,253.0,253.0,253.0
2020-09-24,253.0,253.0,253.0
2020-10-01,254.0,254.0,254.0
2020-10-08,254.0,254.0,254.0
2020-10-15,254.0,254.0,254.0
2020-10-22,254.0,254.0,254.0
2020-10-29,254.0,254.0,254.0
2020-11-05,254.0,254.0,254.0
2020-11-12,254.0,254.0,254.0
2020-11-19,254.0,254.0,254.0
2020-11-26,254.0,254.0,254.0
2020-12-03,254.0,254.0,254.0
2020-12-10,254.0,254.0,254.0
2020-12-17,254.0,254.0,254.0
2020-12-24,254.0,254.0,254.0
2020-12-31,260.0,260.0,260.0
2021-01-07,260.0,260.0,260.0
2021-01-14,267.0,267.0,267.0
2021-01-21,267.0,267.0,267.0
2021-01-28,296.0,296.0,296.0
2021-02-04,296.0,296.0,296.0
2021-02-11,296.0,296.0,296.0
2021-02-18,296.0,296.0,296.0
2021-02-25,296.0,296.0,296.0
2021-03-04,296.0,296.0,296.0
2021-03-11,296.0,296.0,296.0
2021-03-18,303.0,303.0,303.0
2021-03-25,303.0,303.0,303.0
2021-04-01,303.0,303.0,303.0
2021-04-08,303.0,303.0,303.0
2021-04-15,303.0,303.0,303.0
2021-04-22,303.0,303.0,303.0
2021-04-29,303.0,303.0,303.0
2021-05-06,303.0,303.0,303.0
2021-05-20,303.0,303.0,303.0
2021-05-27,303.0,303.0,303.0
2021-06-03,303.0,303.0,303.0
2021-06-10,303.0,303.0,303.0
2021-06-17,303.0,303.0,303.0
2021-06-24,316.0,316.0,316.0
2021-07-01,316.0,316.0,316.0
2021-07-08,316.0,316.0,316.0
2021-07-15,328.0,328.0,328.0
2021-07-29,328.0,328.0,328.0
2021-08-05,328.0,328.0,328.0
2021-08-12,328.0,328.0,328.0
2021-08-26,346.0,346.0,346.0
2021-09-02,346.0,346.0,346.0
2021-09-09,346.0,346.0,346.0
2021-09-16,346.0,346.0,346.0
2021-09-23,346.0,346.0,346.0
2021-09-30,346.0,346.0,346.0
2021-10-07,346.0,346.0,346.0
2021-10-14,346.0,346.0,346.0
2021-10-21,346.0,346.0,346.0
2021-10-28,346.0,346.0,346.0
2021-12-02,346.0,346.0,346.0
2021-11-04,346.0,346.0,346.0
2021-11-11,346.0,346.0,346.0
2021-11-18,346.0,346.0,346.0
2021-11-25,346.0,346.0,346.0
2021-12-08,346.0,346.0,346.0
